time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-123.13,49.29,1325.37,1504.68,2017.24,1325.38,1494.41,2017.23,1325.39,1494.41,2017.23
1951-01-01,-123.13,49.29,1372.88,1536.90,1730.36,1372.87,1533.55,1730.37,1372.87,1536.92,1730.36
1952-01-01,-123.13,49.29,1199.80,1540.28,1876.10,1199.80,1540.28,1867.65,1199.78,1540.27,1876.01
1953-01-01,-123.13,49.29,1331.20,1625.74,1864.68,1331.19,1631.64,1864.52,1331.20,1622.60,1863.74
1954-01-01,-123.13,49.29,1258.99,1503.19,1968.47,1258.99,1503.21,1963.38,1259.00,1503.20,1964.80
1955-01-01,-123.13,49.29,1213.50,1505.01,1767.14,1210.44,1506.54,1765.64,1213.93,1503.79,1769.21
1956-01-01,-123.13,49.29,1213.44,1518.42,1882.36,1213.50,1513.37,1885.31,1220.79,1511.04,1882.34
1957-01-01,-123.13,49.29,1350.94,1519.92,1825.15,1342.46,1531.84,1825.15,1346.92,1526.44,1825.15
1958-01-01,-123.13,49.29,1182.27,1543.03,1852.47,1182.27,1543.01,1848.88,1182.27,1543.02,1845.25
1959-01-01,-123.13,49.29,1271.75,1536.83,2017.28,1268.13,1536.83,2020.03,1264.42,1536.83,2015.38
1960-01-01,-123.13,49.29,1263.59,1628.20,1980.96,1258.29,1627.88,1980.97,1245.91,1641.56,1980.96
1961-01-01,-123.13,49.29,1291.17,1600.45,1912.73,1291.15,1600.45,1909.17,1291.17,1600.44,1906.27
1962-01-01,-123.13,49.29,1248.58,1543.16,2032.12,1256.33,1540.36,2032.14,1256.33,1541.68,2032.12
1963-01-01,-123.13,49.29,1365.74,1596.38,1870.86,1365.74,1591.82,1862.85,1365.74,1591.81,1858.78
1964-01-01,-123.13,49.29,1186.16,1516.37,1699.01,1186.42,1518.81,1716.91,1185.22,1518.81,1701.99
1965-01-01,-123.13,49.29,1195.79,1459.14,1807.69,1196.13,1454.88,1821.15,1198.61,1453.44,1825.68
1966-01-01,-123.13,49.29,1303.07,1494.93,1727.49,1303.07,1494.93,1727.77,1303.07,1494.93,1730.58
1967-01-01,-123.13,49.29,1172.20,1559.07,1893.62,1172.20,1565.85,1896.42,1172.19,1560.53,1892.09
1968-01-01,-123.13,49.29,1315.02,1640.09,1866.53,1306.29,1640.09,1861.95,1307.99,1640.10,1861.95
1969-01-01,-123.13,49.29,1277.37,1616.20,1918.33,1280.54,1614.13,1918.33,1279.37,1616.59,1913.95
1970-01-01,-123.13,49.29,1227.91,1601.76,1827.56,1227.92,1601.76,1827.53,1227.91,1601.76,1827.54
1971-01-01,-123.13,49.29,1075.15,1459.55,1837.50,1075.14,1467.46,1837.48,1075.15,1470.42,1837.50
1972-01-01,-123.13,49.29,1395.52,1604.75,1928.83,1314.75,1582.12,1928.82,1314.75,1572.91,1928.83
1973-01-01,-123.13,49.29,1309.43,1552.00,1777.54,1309.43,1552.00,1782.07,1306.17,1514.66,1782.07
1974-01-01,-123.13,49.29,1172.04,1545.43,1902.65,1172.02,1545.41,1905.19,1172.02,1545.42,1904.26
1975-01-01,-123.13,49.29,1270.31,1503.84,1863.43,1270.30,1503.83,1863.44,1270.32,1503.85,1863.43
1976-01-01,-123.13,49.29,1272.94,1546.05,1707.63,1264.75,1548.29,1709.06,1263.91,1551.28,1709.05
1977-01-01,-123.13,49.29,1376.31,1551.38,1802.84,1362.42,1551.39,1802.85,1362.42,1551.38,1802.85
1978-01-01,-123.13,49.29,1366.91,1518.68,1928.94,1366.91,1516.10,1928.94,1366.91,1516.10,1928.95
1979-01-01,-123.13,49.29,1351.51,1572.79,1773.36,1353.17,1572.78,1773.38,1348.89,1572.79,1773.37
1980-01-01,-123.13,49.29,1159.25,1541.40,1883.32,1168.15,1549.64,1879.00,1169.43,1551.16,1883.84
1981-01-01,-123.13,49.29,1229.85,1612.90,1857.62,1224.35,1620.36,1867.36,1232.45,1613.52,1868.82
1982-01-01,-123.13,49.29,1148.36,1562.13,1858.10,1141.54,1555.04,1852.14,1144.18,1562.30,1842.47
1983-01-01,-123.13,49.29,1410.74,1589.49,1858.08,1418.83,1600.14,1865.53,1402.55,1597.24,1855.45
1984-01-01,-123.13,49.29,1231.28,1498.00,1817.29,1237.05,1496.96,1830.61,1236.69,1490.41,1826.01
1985-01-01,-123.13,49.29,1314.03,1566.65,1796.21,1325.89,1569.82,1795.92,1321.62,1565.85,1785.86
1986-01-01,-123.13,49.29,1339.71,1662.99,1920.58,1338.62,1661.81,1953.56,1319.41,1665.23,1944.18
