"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2244.7747551529
"2","member","Sunday",900.307148435528
"3","casual","Monday",1959.82451875468
"4","member","Monday",766.378907117737
"5","casual","Tuesday",1680.21086959222
"6","member","Tuesday",742.113918132782
"7","casual","Wednesday",1709.37992958039
"8","member","Wednesday",743.299003577192
"9","casual","Thursday",1778.49037409004
"10","member","Thursday",753.099946891038
"11","casual","Friday",1845.2442965222
"12","member","Friday",772.501325365816
"13","casual","Saturday",2124.54751924997
"14","member","Saturday",888.465594595957
